accessible,सुलभ,positive
accomplish,पूरा,positive
accomplished,पूरा हुआ,positive
accomplishment,उपलब्धि,positive
accomplishments,उपलब्धियों,positive
accurate,सटीक,positive
accurately,यथासंभव,positive
achievement,उपलब्धि,positive
achievements,उपलब्धियाँ,positive
acumen,कौशल,positive
adjustable,समायोजनीय,positive
admirable,प्रशंसनीय,positive
admire,प्रशंसा,positive
admirer,प्रशंसक,positive
adorable,प्यारे,positive
adore,प्यार करता हूँ,positive
advanced,उन्नत,positive
advantage,लाभ,positive
advantages,लाभ,positive
advocates,हिन्दुत्व की,positive
affection,स्नेह,positive
affinity,संबंध,positive
affirmative,सकारात्मक,positive
afford,बर्दाश्त,positive
affordable,किफायती,positive
agile,एजाइल,positive
agility,की फुर्ती,positive
alluring,सम्मोहक,positive
amaze,आश्चर्यचकित करो,positive
amazed,हैरान,positive
amazing,अद्भुत,positive
amazingly,आश्चर्यजनक,positive
ambitious,महत्वाकांक्षी होते,positive
ample,पर्याप्त,positive
angel,परी,positive
angelic,ऐंजेलिक,positive
appeal,अपील,positive
appealing,ऐसे मोहक,positive
appreciate,की सराहना करते हैं,positive
appreciated,सराहना करते हैं,positive
appropriate,उपयुक्त,positive
approval,अनुमोदन,positive
approve,अनुमोदन,positive
aspire,अस्पायर,positive
assurance,आश्वासन,positive
assurances,आश्वासन की,positive
assuring,सुनिश्चित करने वाले,positive
astonished,बडा आश्चर्यचकित,positive
astonishing,चौंकाने वाले,positive
astounding,आश्चर्यजनक रूप से प्रभावशाली,positive
attentive,सचेत,positive
attraction,आकर्षण,positive
attractive,आकर्षक,positive
attractively,आकर्षक,positive
auspicious,बनाते हैं,positive
authentic,प्रामाणिक,positive
autonomous,खुला,positive
available,उपलब्ध,positive
award,पुरस्कार,positive
awarded,से सम्मानित,positive
awards,पुरस्कार,positive
awe,कर देंगें,positive
awesome,बेहतरीन,positive
awsome,कमाल का,positive
backbone,मेरुदंड होता है,positive
balanced,संतुलित,positive
bargain,सौदा,positive
beautiful,सुंदर,positive
beautifully,खूबसूरती से,positive
beautify,शोभा बढ़ाए,positive
beauty,सौंदर्य,positive
beloved,प्रिय,positive
beneficial,फायदेमंद,positive
beneficiary,लाभार्थी का,positive
benefit,लाभ,positive
benefits,लाभ,positive
best,सर्वश्रेष्ठ,positive
better,बेहतर,positive
bless,आशीर्वाद,positive
blessing,आशीर्वाद,positive
bliss,आनंद,positive
blossom,खिलना,positive
bolster,ग्लोबस,positive
bonus,बोनस,positive
bonuses,बोनस,positive
boom,बूम,positive
booming,रहा,positive
boost,को बढ़ावा देने के लिए,positive
brainy,जानिए तेज दिमाग,positive
brave,बहादुर,positive
bravo,ब्रावो,positive
breathtaking,लुभावनी,positive
breeze,मंद हवा,positive
bright,चमकीले मेल खाते परिधानों से करें,positive
brighten,चमकाने,positive
brilliance,ब्रिलिएंस,positive
brilliant,चमकदार माणिक जैसा,positive
brisk,तेज़ी से,positive
brotherly,भाई का,positive
calm,शांति,positive
capability,क्षमता,positive
capable,योग्य,positive
captivating,मनोरम,positive
carefree,तनावमुक्त,positive
celebrate,का उत्सव मना रहे हैं,positive
celebrated,मनाया,positive
celebration,जश्न,positive
champ,विजेता,positive
champion,चैंपियन,positive
charisma,आकर्षण है,positive
charismatic,करिश्माई महिलाओं,positive
charitable,धर्मार्थ,positive
charm,आकर्षण,positive
charming,आकर्षक,positive
cheaper,सस्ता,positive
cheapest,सस्ता,positive
cheer,खुश हो जाओ,positive
cheerful,खूबसूरत,positive
chic,फैशनेबल,positive
clarity,स्पष्टता,positive
classic,क्लासिक,positive
classy,सर्वोत्कृष्ट,positive
clean,साफ,positive
cleaner,क्लीनर,positive
cleanliness,स्वच्छता एक बड़ा मुद्दा बन चुका,positive
clear,स्पष्ट,positive
cleared,मिट,positive
clearly,स्पष्ट रूप से,positive
clever,चालाक,positive
colorful,रंगीन तरीके से तैयार किया गया है,positive
comfort,आराम,positive
comfortable,आरामदायक,positive
comfortably,आराम,positive
comfy,आरामदायक,positive
commitment,वचनबद्धता,positive
compact,कॉम्पैक्ट,positive
compassion,करुणा कठोर मेरा,positive
compassionate,दयावान,positive
compatible,अनुकूल,positive
competitive,प्रतिस्पर्धी,positive
complement,पूरक,positive
complementary,पूरक,positive
complements,पूरक,positive
compliant,अनुरूप,positive
compliment,प्रशंसा,positive
complimentary,निशुल्क,positive
comprehensive,व्यापक,positive
concise,संक्षिप्त,positive
confidence,आत्मविश्वास,positive
congratulation,बधाई,positive
congratulations,बधाई,positive
consistent,संगत,positive
consistently,लगातार,positive
constructive,रचनात्मक,positive
continuity,कंटीन्यूटी,positive
contribution,योगदान,positive
convenience,सुविधा,positive
convenient,सुविधाजनक,positive
convincing,ठोस,positive
cool,कूल,positive
coolest,ठंडा,positive
cooperative,अधिक सहयोगी,positive
cornerstone,आधारशिला,positive
correct,सही,positive
correctly,सही ढंग से,positive
courage,साहस,positive
courageous,साहसी,positive
courteous,विनम्र,positive
covenant,प्रण,positive
cozy,आरामदायक,positive
creative,रचनात्मक,positive
credible,प्रामाणिक,positive
crisp,कड़क,positive
cure,इलाज,positive
cute,प्यारा,positive
daring,साहसी,positive
darling,डार्लिंग,positive
dawn,सूर्योदय,positive
dazzle,चमक,positive
dazzling,चमकदार,positive
decent,सभ्य,positive
decisive,निर्णायक,positive
dedicated,समर्पित,positive
defeat,सबसे बड़ी हार दी,positive
defeated,जानवर को हराया,positive
defeating,को हराकर,positive
delicate,कोमलता से,positive
delicious,स्वादिष्ट लगते हैं ।,positive
delight,डिलाईट,positive
dependable,विश्वसनीय,positive
desirable,वांछनीय,positive
desiring,की इच्छा होगा,positive
destiny,भाग्य,positive
dignity,इज्जत,positive
distinguished,प्रतिष्ठित,positive
divine,डीवाइन,positive
dominated,छाई,positive
durable,टिकाऊ,positive
dynamic,गतिशील,positive
eager,उत्सुक,positive
eagerly,बेसब्री से,positive
ease,सरलता,positive
easier,इतना आसान नहीं था,positive
easiest,सबसे आसान,positive
easing,बैंक द्वारा मुद्रा की आपूर्ति में नई मुद्रा की शुरुआत,positive
easy,आसान,positive
economical,किफायती,positive
educated,शिक्षित,positive
effective,प्रभावी,positive
effectively,से रोक,positive
effectiveness,प्रभावशीलता,positive
efficient,कुशल,positive
efficiently,इनके कुशलता से,positive
effusion,बहाव का कारण बनता है,positive
elan,जोश,positive
elegance,भव्यता से युक्त बनाता है,positive
elegant,सुंदर,positive
elevate,भा जाएँ,positive
elite,इलीट,positive
eminent,प्रख्यात,positive
empower,को सशक्त करें,positive
empowerment,अधिकारिता,positive
enchanting,करामाती,positive
encourage,प्रोत्साहित करें,positive
encouragement,प्रोत्साहित करने,positive
encouraging,उत्साहजनक,positive
endorse,समर्थन करें,positive
endorsed,समर्थित,positive
endorsement,परांकन,positive
engaging,आकर्षक,positive
enhance,को निखारेंगे,positive
enhanced,संवर्धित,positive
enhancement,वृद्धि,positive
enhances,रंग,positive
enjoy,का आनंद लें,positive
enjoyable,आनंददायक,positive
enjoyed,मज़ा आया,positive
enjoying,का आनंद लेते हुए,positive
enjoyment,गुल खिलना,positive
enlightenment,आत्मज्ञान,positive
enough,पर्याप्त,positive
enrich,वाले जीव,positive
entertain,मनोरंजन,positive
entertaining,मनोरंजक,positive
enthusiast,उत्साही,positive
enthusiastic,उत्साही,positive
entice,प्रलोभन मिलता है,positive
enticing,की मोहकता,positive
envious,सम्मोहक,negative
envy,ईर्ष्या के बीज,positive
ethical,नैतिक,positive
everlasting,सदाबहार,positive
exceed,पार,positive
exceeded,पार हो चुका है,positive
exceeding,से अधिक,positive
exceeds,से अधिक,positive
excel,एक्सेल,positive
excellence,श्रेष्ठता,positive
excellent,उत्कृष्ट,positive
excellently,विशेष रूप,positive
exceptional,असाधारण,positive
exceptionally,विशि‍ष्ट रूप से,positive
excited,उत्तेजित,positive
excitement,रोमांच,positive
exciting,रोमांचक,positive
exquisite,उत्कृष्ट,positive
extraordinary,असाधारण,positive
eye-catching,मनमोहक,positive
fabulous,शानदार,positive
fair,मेला,positive
fairly,काफी,positive
fairness,निष्पक्षता,positive
faith,विश्वास,positive
faithful,वफादार,positive
faithfully,विश्वासपात्र,positive
fame,फेम,positive
famous,प्रसिद्ध,positive
fancier,अधिक रुचिकर,positive
fancy,फैंसी,positive
fans,प्रशंसकों को आवाज़ दी जाती है,positive
fantastic,शानदार,positive
fascinate,मोहित,positive
fascinating,दिलचस्प रंगीन,positive
fashionable,फैशनेबल,positive
fast,तेज,positive
faster,तेज,positive
fastest,तेज,positive
fav,मनपसंद,positive
fave,पक्ष लेने,positive
favor,अहसान,positive
favorable,अनुकूल,positive
favorite,पसंदीदा,positive
favour,पक्ष,positive
fearless,दंबगों,positive
feat,फीट,positive
feisty,साहसी,positive
fertile,फ़र्टाइल,positive
festive,जलवा,positive
fidelity,निष्ठा,positive
fiery,तेजस्वी,positive
fine,ठीक,positive
finely,से बने,positive
finer,बेहतर,positive
finest,बेहतरीन,positive
flattering,प्रशंसनीय,positive
flawless,फ्लॉलेस,positive
flexibility,लचीलेपन को विकसित करता है,positive
flexible,लचीला,positive
fluent,निपुण,positive
flutter,स्पंदन,positive
fond,शौकीन,positive
foremost,महत्वपूर्ण,positive
fortunate,भाग्यशाली,positive
fortunately,सौभाग्य से,positive
fortune,भाग्य,positive
free,नि : शुल्क,positive
freedom,स्वतंत्रता,positive
fresh,ताजा,positive
friendly,अनुकूल,positive
fulfillment,पूर्ति,positive
fun,मजेदार,positive
futuristic,भविष्यउन्मुखी,positive
gain,बढ़ना,positive
gained,कर पाई,positive
gains,मजबूत,positive
galore,प्रचुर मात्रा में,positive
gem,रत्न,positive
gems,रत्न पहने जाएँ,positive
generous,उदार,positive
genius,प्रतिभा,positive
gentle,जेंटल,positive
genuine,असली,positive
gifted,प्रतिभाशाली,positive
glad,खुशी हुई,positive
glamorous,आपके वॉरड्रोब मे,positive
glitter,चमकीली,positive
glitz,तड़क - भड़क,positive
glorify,को निखारने,positive
glory,ग्लोरी,positive
glow,चमक को सुनिश्चित करता है,positive
glowing,चमकना,positive
godsend,का,positive
gold,सोना,positive
golden,गोल्डन,positive
good,अच्छा,positive
goodness,अच्छाई,positive
gorgeous,खूबसूरत,positive
grace,ग्रेस के प्रेम में बुरी तरह पागल हैं,positive
graceful,गरीमामय,positive
gracious,विनीत,positive
grand,ग्रैंड,positive
grateful,आभारी,positive
gratifying,संतुष्टिदायक,positive
gratitude,नम,positive
great,महान,positive
greatest,महान,positive
greatness,महानता,positive
grin,मुसकुराहट,positive
groundbreaking,अभूतपूर्व,positive
guarantee,गारंटी,positive
guidance,मार्गदर्शन,positive
gusto,जोश दिखाओ,positive
hail,जय,positive
hallmark,प्रमाण चिन्ह,positive
handsome,सुंदर,positive
handy,सुलभ,positive
happier,खुश,positive
happily,खुशी से,positive
happiness,खुशी,positive
happy,खुश,positive
hardy,पीछे बैठने वाले,positive
harmless,हानिरहित,positive
harmony,मेल मिलाप,positive
heal,चंगा,positive
healthy,स्वस्थ,positive
heartwarming,दिली,positive
heaven,स्वर्ग,positive
heavenly,अलौकिक,positive
helped,कुछ किया,positive
helpful,सहायक,positive
helping,मदद के लिए,positive
hero,हीरो,positive
heroine,हीरोइन,positive
hilarious,प्रफुल्लित करने वाला,positive
holy,पवित्र,positive
homage,जलसा शायरे,positive
honest,ईमानदार,positive
honesty,ईमानदारी,positive
honor,सम्मान,positive
honorable,सम्मानित,positive
honored,सम्मानित,positive
hooray,हुर्रे,positive
hopeful,अच्छा,positive
hot,गर्म,positive
hottest,हॉटैस्ट,positive
hug,आलिंगन,positive
humane,मानव,positive
humble,विनम्र,positive
humor,हास्य,positive
ideal,आदर्श रंग और स्टाइल आपके आकर्षण में चार चांद लगा,positive
ideally,आदर्श रूप में,positive
idol,आइडल,positive
imaginative,इमेजनेटिव,positive
immaculate,त्रुटिहीन,positive
immense,विशाल,positive
important,महत्वपूर्ण,positive
impress,प्रभावित,positive
impressed,प्रभावित,positive
impressive,प्रभावशील,positive
improve,में सुधार,positive
improved,सुधार,positive
improvement,सुधार,positive
improvements,सुधार,positive
improves,शारीरिक,positive
incredible,अविश्वसनीय,positive
incredibly,अविश्वसनीय रूप से,positive
inexpensive,सस्ती,positive
infallible,अचूक,positive
influential,प्रभावशाली,positive
innovation,नवाचार,positive
innovative,नवीन,positive
insightful,पुरे जानकारीपूर्ण,positive
inspiration,प्रेरणा,positive
inspirational,प्रेरणादायक,positive
inspire,प्रेरित,positive
inspiring,प्रेरक,positive
instantly,तुरन्त,positive
integral,एकीकृत,positive
integrated,एकीकृत,positive
intelligence,बुद्धि,positive
intelligent,बुद्धिमान,positive
interesting,दिलचस्प,positive
interests,हितों,positive
intimacy,अंतरंगता,positive
intimate,इंटीमेट,positive
intricate,बारीक,positive
intriguing,पेचीदा,positive
intuitive,मज़ेदार,positive
invincible,अजेय,positive
irresistible,प्रबल,positive
jolly,जॉली,positive
joy,आनन्द,positive
keen,उतावला,positive
kindly,कृपया,positive
kindness,दया,positive
knowledgeable,ज्ञान है,positive
kudos,तारीफ,positive
lawful,विधिमान्य,positive
lead,नेतृत्व,positive
leading,प्रमुख,positive
leads,आगे ले जाती है,positive
lean,दुबला,positive
led,श्रेष्ठ चमकीली खास तौर पर निर्मित एलईडी,positive
legendary,पौराणिक,positive
leverage,लाभ उठाएं,positive
liberate,पाप सँ मुक्ति प्रदान करू,positive
liberty,लिबर्टी,positive
lighter,हल्का,positive
like,की तरह,positive
liked,पसंद आया,positive
likes,पसंद करती है,positive
liking,पसंद,positive
lively,जीवंत,positive
logical,तार्किक,positive
love,प्यार,positive
loved,प्यार किया,positive
lovely,प्यारा,positive
lover,प्रेमी,positive
loves,प्यार करता है,positive
loving,प्यार करना,positive
loyal,वफादार,positive
loyalty,वफादारी,positive
lucid,स्पष्ट अर्थ का,positive
luck,भाग्य,positive
lucky,भाग्यशाली,positive
luminous,चमकदार,positive
lush,रसीला,positive
luster,आभा,positive
luxury,लग्ज़री,positive
magic,जादू,positive
magical,जादुई,positive
magnificent,शानदार,positive
majestic,आलीशान,positive
marvel,अचंभा,positive
marvellous,अद्भुत,positive
marvelous,लजीज,positive
master,मास्टर,positive
masterpiece,मास्टरपीस,positive
masters,स्वामी,positive
mature,परिपक्व,positive
maturity,परिपक्वता,positive
memorable,यादगार,positive
merciful,दयालु,positive
mercy,दया,positive
merit,शिक्षक अभ्यर्थियों की मेधा,positive
merry,मैरी,positive
mesmerizing,मन मोह लेने वाले,positive
meticulous,सूक्ष्म,positive
mighty,पराक्रमी,positive
mind-blowing,जो आपके होश उड़ा देगी !,positive
miracle,चमत्कार,positive
miracles,चमत्कारों,positive
miraculous,तिलस्मी,positive
modern,आधुनिक,positive
modesty,इस लोक,positive
monumental,यादगार मौका होता,positive
morality,नैतिकता,positive
motivated,प्रेरित,positive
neat,साफ,positive
neatly,अच्छे से,positive
nice,अच्छा,positive
nicely,अच्छी तरह से,positive
noble,नोबल,positive
noteworthy,उल्लेखनीय,positive
oasis,ओएसिस,positive
obsession,जूनून,positive
openly,"का , खुलकर करें बखान",positive
optimal,इष्टतम,positive
optimism,आशावाद,positive
optimistic,आशावादी,positive
orderly,व्यवस्थित,positive
outdone,ने,positive
outperform,सोकर,positive
outstanding,बकाया,positive
ovation,ओवेशन,positive
painless,दर्दरहित,positive
paradise,स्वर्ग,positive
pardon,माफी,positive
passion,जुनून,positive
passionate,जुनूनी,positive
patience,धैर्य,positive
patient,रोगी,positive
patriot,देशभक्ति का,positive
peace,शांति,positive
peaceful,शांतिपूर्ण,positive
peach,आड़ू,positive
pep,उत्साहवर्धक,positive
peppy,जोशीले,positive
perfect,सही,positive
perfection,से संपूर्ण,positive
perfectly,सही तरीके से,positive
personalized,निजीकृत,positive
phenomenal,अद्भुत,positive
piety,पुण्यशीलता,positive
playful,चंचल,positive
pleasant,सुखद,positive
pleasantly,सुख से,positive
pleased,खुश,positive
pleasure,खुशी,positive
plush,हमेशा,positive
poise,संतुलन,positive
polished,पॉलिश्ड,positive
polite,विनम्र,positive
popular,लोकप्रिय,positive
portable,पोर्टेबल,positive
posh,बढि़या,positive
positive,सकारात्मक,positive
positively,सकारात्मक,positive
powerful,शक्तिशाली,positive
praise,आरती कीजै,positive
precious,कीमती,positive
precise,सटीक,positive
precisely,ठीक,positive
prefer,क्या आप कागजात,positive
preferable,बेहतर,positive
prefers,हम उम्र आदमियों,positive
premier,प्रीमियर,positive
prestigious,प्रतिष्ठित,positive
pretty,सुंदर,positive
priceless,अमूल्य,positive
pride,गर्व,positive
privilege,सौभाग्य,positive
prize,पुरस्कार,positive
productive,उत्पादक,positive
proficient,कुशल,positive
profoundly,पूरी तरह से बेहतर,positive
progress,प्रगति,positive
progressive,प्रगतिशील,positive
prominent,प्रमुख,positive
promise,वादा,positive
promised,वादा किया था,positive
promises,वादे,positive
promoter,प्रमोटर,positive
prompt,त्वरित,positive
promptly,तुरंत,positive
proper,उचित,positive
properly,सही तरीके से,positive
pros,प्रॉस,positive
prosper,समृद्ध होने,positive
prosperity,समृद्धि,positive
prosperous,खुशहाल,positive
protect,रक्षा करता है,positive
protection,सुरक्षा,positive
protective,सुरक्षात्मक,positive
proud,गर्व,positive
proven,सिद्ध,positive
proves,साबित करता है,positive
punctual,पाबंदी,positive
pure,शुद्ध,positive
qualified,सुयोग्य,positive
qualify,अर्हता प्राप्त कर ली,positive
quiet,शांत,positive
radiance,लाता है,positive
radiant,चमकीला,positive
rapid,तेज,positive
rational,तर्कसंगत,positive
readable,पठनीय,positive
readily,आसानी से,positive
ready,तैयार,positive
realistic,वास्तविक हैं,positive
reasonable,उचित,positive
reasonably,उचित,positive
reclaim,प्राप्ति,positive
recomend,सुझाव देता हूँ,positive
recommend,सिफारिश,positive
recommendation,सिफारिश करने दें,positive
recommendations,सुझाव,positive
recommended,अनुशंसित,positive
reconcile,सामंजस्य बनाते,positive
reconciliation,सुलह,positive
recover,लगे ।,positive
recovery,रिकवरी,positive
rectify,सुधारने,positive
rectifying,का समाधान कर रहे,positive
redeem,रीडीम,positive
redemption,मुक्ति,positive
refine,परिष्कृत करें,positive
reform,सुधार,positive
reforms,सुधार,positive
refresh,ताजा करें,positive
refreshed,रिफ्रेश करने पर,positive
refreshing,ताज़ी,positive
refund,वापसी,positive
refunded,वापिस नहीं,positive
regal,राजसी,positive
regard,संबंध,positive
rejuvenated,जोशपूर्ण अनुभूति देता है,positive
relaxed,आराम करते हैं,positive
reliable,विश्वसनीय,positive
relief,राहत,positive
remarkable,उल्लेखनीय,positive
remedy,उपाय,positive
renaissance,अ रेनेंसा,positive
renowned,प्रसिद्ध,positive
replaceable,बदले जाने योग्य,positive
reputation,प्रतिष्ठा,positive
respect,सम्मान,positive
respectful,सम्मानित,positive
responsibly,जिम्मेदारी से,positive
responsive,जवाबदेह,positive
restored,सुधारा गया,positive
restructuring,पुनर्गठन,positive
revel,आनंद,positive
revelation,रहस्योद्घाटन,positive
revival,पुनरुद्धार,positive
revive,पुनर्जीवित,positive
revolutionary,क्रांतिकारी,positive
reward,इनाम,positive
rewarding,पुण्यमय,positive
rich,अमीर,positive
richness,होंगी सरिस्का जैसे,positive
right,सही,positive
righteousness,लक्ष्य धर्म,positive
rightfully,सही तरीके से,positive
robust,मजबूत,positive
rockstar,रॉकस्टार,positive
romantic,रोमांटिक,positive
safe,सुरक्षित,positive
safely,सुरक्षित तरीके से,positive
saint,संत,positive
salute,सलाम,positive
sane,मत कहना कि ये समझदारी भरा,positive
satisfactory,संतोषजनक,positive
satisfied,संतुष्ट,positive
satisfies,अपनी,positive
satisfying,संतोषजनक,positive
saver,सेवर,positive
savings,बचत का लाभ उठाएं,positive
savior,उद्धारकर्ता,positive
